Taxon	Loci
Leptadenia_madagascariensis_PAFTOL031797	209
Leuconotis_anceps_PAFTOL025339	201
Luculia_pinceana_PAFTOL005309	202
Lygisma_inflexum_PAFTOL027321	211
Maclaudia_felixii_PAFTOL031820	211
Macrocarpaea_stenophylla_PAFTOL005232	190
Macroscepis_sp_PAFTOL031738	212
Margaretta_rosea_PAFTOL031807	212
Marsdenia_angolensis_PAFTOL027315	211
Mascarenhasia_lisianthiflora_PAFTOL005311	200
Melodinus_forbesii_PAFTOL005890	202
Metastelma_harley_CB10	208
Metastelma_parviflorum_CB83	202
Micrechites_rhombifolius_PAFTOL031717	209
Microloma_sagittatum_PAFTOL031770	211
Microplumeria_anomala_PAFTOL031736	212
Minaria_acerosa_CB411	211
Minaria_cordata_CB198	212
Minaria_decussata_CB205	210
Minaria_grazielae_CB449	209
Minaria_harley_CB206	205
Minaria_hemipogonoides_CB208	200
Minaria_lourtegiae_CB433	200
Minaria_magisteriana_CB435	210
Minaria_micromeria_CB436	209
Minaria_parva_CB443	210
Minaria_refractifolia_CB442	177
Minaria_semirii_CB444	211
Minaria_volubilis_CB216	211
Miraglossum_pulchellum_PAFTOL031898	211
Molongum_laxum_PAFTOL025221	211
Mondia_whitei_PAFTOL031737	212
Monolluma_socotrana_PAFTOL027283	209
Monsanima_morrenioides_PAFTOL025215	201
Morilloa_lutea_PAFTOL025211	212
Mortoniella_pittieri_PAFTOL031794	209
Motandra_paniculata_PAFTOL025239	212
Mucoa_duckei_PAFTOL031810	211
Myriopteron_extensum_PAFTOL025205	211
Neoschumannia_kamerunensis_PAFTOL031897	212
Nephradenia_acerosa_CB451	211
Nephradenia_asparagoides_CB452	198
Nerium_oleander_PAFTOL031713	212
Neuburgia_corynocarpa_PAFTOL007837	204
Oncinema_lineare_PAFTOL031774	212
Oncinotis_tenuiloba_PAFTOL031812	212
Ophionella_arcuata_PAFTOL027285	210
Ophiorrhiza_winkleri_PAFTOL005263	198
Orbea_hardyi_PAFTOL027287	210
Oreosparte_celebica_PAFTOL027323	210
Orthanthera_jasminiflora_PAFTOL027257	212
Orthopichonia_barteri_PAFTOL031722	210
Orthopichonia_seretii_PAFTOL025253	203
Orthosia_dusenii_PAFTOL025217	212
Orthosia_scoparia_PAFTOL025207	212
Pachycarpus_grandiflorus_PAFTOL031775	206
Pacouria_guianensis_PAFTOL025233	211
Papuahoya_bykulleana_PAFTOL027325	210
Papuechites_aambe_PAFTOL025337	210
Parapodium_costatum_PAFTOL031777	211
Pectinaria_articulata_PAFTOL027289	211
Pentacyphus_camargoi_PAFTOL027253	211
Pentalinon_luteum_PAFTOL031778	211
Pentasacme_caudatum_PAFTOL027259	209
Pentatropis_capensis_PAFTOL031739	209
Pentopetia_albicans_PAFTOL031740	212
Perama_dichotoma_PAFTOL005268	174
Periglossum_mkenii_PAFTOL031693	212
Peruviasclepias_aliciae_PAFTOL031791	212
Pervillaea_tomentosa_PAFTOL031707	212
Phaeostemma_kelleri_PAFTOL031813	212
Pherotrichis_sp_PAFTOL031757	212
Philibertia_solanoides_PAFTOL031780	211
Phyllanthera_grayi_GAP022225	212
Phyllanthera_nymanii_PAFTOL025419	201
Piaranthus_geminatus_PAFTOL027291	210
Picralima_nitida_PAFTOL025249	212
Pinochia_corymbosa_PAFTOL031708	212
Pleiocarpa_rostrata_PAFTOL025251	212
Pleioceras_barteri_PAFTOL031782	212
Plocama_calabrica_PAFTOL021615	209
Plumeria_obtusa_PAFTOL005225	202
Polystemma_scopulorum_PAFTOL031694	212
Pottsia_laxiflora_PAFTOL031715	212
Pruskortizia_macrocarpa_PAFTOL027249	186
Pseudolithos_dodsonianus_PAFTOL027293	211
Pseudolithos_mccoyi_PAFTOL027261	210
Psychotria_borbonica_PAFTOL021587	208
Pteralyxia_laurifolia_PAFTOL031741	208
Quaqua_parviflora_PAFTOL031801	210
Raphionacme_hirsuta_PAFTOL031783	212
Rauvolfia_vomitoria_PAFTOL006556	210
Rhabdadenia_madida_PAFTOL005330	189
Rhigospira_quadrangularis_PAFTOL025223	209
Rhyssolobium_dumosum_PAFTOL031784	212
Rhytidocaulon_macrolobum_PAFTOL027295	209
Rhytidostemma_sp_PAFTOL027335	212
Richtersveldia_columnaris_PAFTOL027297	212
Riocreuxia_torulosa_PAFTOL031785	212
Riparoampelos_amazonicus_PAFTOL031818	211
Rojasia_gracilis_PAFTOL027337	211
Ruehssia_carvalhoi_PAFTOL004072	204
Saba_comorensis_PAFTOL025281	212
Sacleuxia_newii_PAFTOL031786	212
Sarcolobus_vittatus_GAP022293	211
Sarcorrhiza_epiphytica_PAFTOL025473	212
Schizocolea_linderi_PAFTOL005887	208
Schizoglossum_atropurpureum_PAFTOL031806	211
Schizostephanus_alatus_PAFTOL031787	211
Schizozygia_coffeoides_PAFTOL025453	211
Schlechterella_abyssinica_PAFTOL027333	211
Schubertia_multiflora_PAFTOL031788	211
Scyphostelma_harlingii_PAFTOL031709	212
Secamone_schweinfurthii_PAFTOL005226	205
Secamonopsis_madagascariensis_PAFTOL025361	212
Sicyocarpus_verrucosus_PAFTOL027329	210
Sisyranthus_barbatus_PAFTOL025439	209
Socotrella_dolichocnema_PAFTOL027299	212
Solenostemma_oleifolium_PAFTOL031742	211
Spigelia_pulchella_PAFTOL005874	202
Spirolobium_cambodianum_PAFTOL031710	212
Spongiosperma_grandiflorum_PAFTOL031718	212
Stapelianthus_decaryi_PAFTOL027301	212
Stapeliopsis_saxatilis_PAFTOL027303	210
Stathmostelma_gigantiflorum_PAFTOL031802	212
Stenostelma_capense_PAFTOL031790	208
Stephanostegia_hildebrandtii_PAFTOL025363	206
Stigmatorhynchus_umbellifer_PAFTOL031698	211
Stipecoma_peltigera_PAFTOL031701	204
Stomatostemma_monteiroae_PAFTOL027339	212
Strempeliopsis_strempelioides_PAFTOL025289	210
Streptocaulon_juventas_PAFTOL031696	212
Strophanthus_eminii_PAFTOL031743	212
Strychnos_splendens_PAFTOL005235	196
Suberogerens_cyclophylla_PAFTOL031822	212
Tabernaemontana_divaricata_PAFTOL005308	184
Tacazzea_venosa_PAFTOL004103	201
Tassadia_stricta_CB457	199
Tavaresia_barklyi_PAFTOL027305	208
Temnadenia_odorifera_PAFTOL031711	212
Thenardia_galeottiana_PAFTOL031814	212
Thevetia_bicornuta_PAFTOL031724	212
Topea_micrantha_PAFTOL027255	211
Toxocarpus_kleinii_PAFTOL031792	210
Trichosandra_borbonica_PAFTOL031803	212
Tridentea_gemmiflora_PAFTOL027307	209
Tromotriche_ruschiana_PAFTOL027309	209
Tweedia_brunonis_PAFTOL027251	212
Tylodontia_stipitata_PAFTOL031714	212
Utania_racemosa_PAFTOL005230	184
Vahadenia_caillei_PAFTOL025357	212
Vallaris_solanacea_PAFTOL004042	210
Vallesia_glabra_PAFTOL031744	210
Vinca_difformis_PAFTOL004938	196
Voacanga_thouarsii_PAFTOL006637	211
Wattakaka_volubilis_PAFTOL031745	212
Woodia_mucronata_PAFTOL027241	212
Xysmalobium_undulatum_PAFTOL031746	212
