Taxon	Loci
Leptadenia_madagascariensis_PAFTOL031797	323
Leuconotis_anceps_PAFTOL025339	290
Luculia_pinceana_PAFTOL005309	294
Lygisma_inflexum_PAFTOL027321	328
Maclaudia_felixii_PAFTOL031820	321
Macrocarpaea_stenophylla_PAFTOL005232	269
Macroscepis_sp_PAFTOL031738	331
Margaretta_rosea_PAFTOL031807	329
Marsdenia_angolensis_PAFTOL027315	327
Mascarenhasia_lisianthiflora_PAFTOL005311	285
Melodinus_forbesii_PAFTOL005890	301
Metastelma_harley_CB10	304
Metastelma_parviflorum_CB83	296
Micrechites_rhombifolius_PAFTOL031717	318
Microloma_sagittatum_PAFTOL031770	327
Microplumeria_anomala_PAFTOL031736	332
Minaria_acerosa_CB411	326
Minaria_cordata_CB198	331
Minaria_decussata_CB205	321
Minaria_grazielae_CB449	314
Minaria_harley_CB206	299
Minaria_hemipogonoides_CB208	293
Minaria_lourtegiae_CB433	294
Minaria_magisteriana_CB435	322
Minaria_micromeria_CB436	312
Minaria_parva_CB443	323
Minaria_refractifolia_CB442	238
Minaria_semirii_CB444	326
Minaria_volubilis_CB216	327
Miraglossum_pulchellum_PAFTOL031898	324
Molongum_laxum_PAFTOL025221	322
Mondia_whitei_PAFTOL031737	327
Monolluma_socotrana_PAFTOL027283	316
Monsanima_morrenioides_PAFTOL025215	300
Morilloa_lutea_PAFTOL025211	327
Mortoniella_pittieri_PAFTOL031794	320
Motandra_paniculata_PAFTOL025239	328
Mucoa_duckei_PAFTOL031810	330
Myriopteron_extensum_PAFTOL025205	319
Neoschumannia_kamerunensis_PAFTOL031897	322
Nephradenia_acerosa_CB451	322
Nephradenia_asparagoides_CB452	286
Nerium_oleander_PAFTOL031713	329
Neuburgia_corynocarpa_PAFTOL007837	311
Oncinema_lineare_PAFTOL031774	330
Oncinotis_tenuiloba_PAFTOL031812	332
Ophionella_arcuata_PAFTOL027285	327
Ophiorrhiza_winkleri_PAFTOL005263	290
Orbea_hardyi_PAFTOL027287	326
Oreosparte_celebica_PAFTOL027323	326
Orthanthera_jasminiflora_PAFTOL027257	331
Orthopichonia_barteri_PAFTOL031722	327
Orthopichonia_seretii_PAFTOL025253	301
Orthosia_dusenii_PAFTOL025217	327
Orthosia_scoparia_PAFTOL025207	324
Pachycarpus_grandiflorus_PAFTOL031775	295
Pacouria_guianensis_PAFTOL025233	328
Papuahoya_bykulleana_PAFTOL027325	327
Papuechites_aambe_PAFTOL025337	320
Parapodium_costatum_PAFTOL031777	325
Pectinaria_articulata_PAFTOL027289	329
Pentacyphus_camargoi_PAFTOL027253	327
Pentalinon_luteum_PAFTOL031778	328
Pentasacme_caudatum_PAFTOL027259	319
Pentatropis_capensis_PAFTOL031739	314
Pentopetia_albicans_PAFTOL031740	331
Perama_dichotoma_PAFTOL005268	243
Periglossum_mkenii_PAFTOL031693	328
Peruviasclepias_aliciae_PAFTOL031791	329
Pervillaea_tomentosa_PAFTOL031707	325
Phaeostemma_kelleri_PAFTOL031813	328
Pherotrichis_sp_PAFTOL031757	328
Philibertia_solanoides_PAFTOL031780	325
Phyllanthera_grayi_GAP022225	330
Phyllanthera_nymanii_PAFTOL025419	290
Piaranthus_geminatus_PAFTOL027291	325
Picralima_nitida_PAFTOL025249	329
Pinochia_corymbosa_PAFTOL031708	332
Pleiocarpa_rostrata_PAFTOL025251	329
Pleioceras_barteri_PAFTOL031782	330
Plocama_calabrica_PAFTOL021615	323
Plumeria_obtusa_PAFTOL005225	293
Polystemma_scopulorum_PAFTOL031694	331
Pottsia_laxiflora_PAFTOL031715	330
Pruskortizia_macrocarpa_PAFTOL027249	263
Pseudolithos_dodsonianus_PAFTOL027293	329
Pseudolithos_mccoyi_PAFTOL027261	323
Psychotria_borbonica_PAFTOL021587	321
Pteralyxia_laurifolia_PAFTOL031741	316
Quaqua_parviflora_PAFTOL031801	321
Raphionacme_hirsuta_PAFTOL031783	321
Rauvolfia_vomitoria_PAFTOL006556	323
Rhabdadenia_madida_PAFTOL005330	260
Rhigospira_quadrangularis_PAFTOL025223	320
Rhyssolobium_dumosum_PAFTOL031784	329
Rhytidocaulon_macrolobum_PAFTOL027295	322
Rhytidostemma_sp_PAFTOL027335	328
Richtersveldia_columnaris_PAFTOL027297	327
Riocreuxia_torulosa_PAFTOL031785	326
Riparoampelos_amazonicus_PAFTOL031818	326
Rojasia_gracilis_PAFTOL027337	321
Ruehssia_carvalhoi_PAFTOL004072	296
Saba_comorensis_PAFTOL025281	328
Sacleuxia_newii_PAFTOL031786	332
Sarcolobus_vittatus_GAP022293	326
Sarcorrhiza_epiphytica_PAFTOL025473	326
Schizocolea_linderi_PAFTOL005887	317
Schizoglossum_atropurpureum_PAFTOL031806	328
Schizostephanus_alatus_PAFTOL031787	330
Schizozygia_coffeoides_PAFTOL025453	324
Schlechterella_abyssinica_PAFTOL027333	317
Schubertia_multiflora_PAFTOL031788	328
Scyphostelma_harlingii_PAFTOL031709	328
Secamone_schweinfurthii_PAFTOL005226	304
Secamonopsis_madagascariensis_PAFTOL025361	330
Sicyocarpus_verrucosus_PAFTOL027329	325
Sisyranthus_barbatus_PAFTOL025439	318
Socotrella_dolichocnema_PAFTOL027299	330
Solenostemma_oleifolium_PAFTOL031742	330
Spigelia_pulchella_PAFTOL005874	298
Spirolobium_cambodianum_PAFTOL031710	328
Spongiosperma_grandiflorum_PAFTOL031718	331
Stapelianthus_decaryi_PAFTOL027301	330
Stapeliopsis_saxatilis_PAFTOL027303	326
Stathmostelma_gigantiflorum_PAFTOL031802	322
